Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.9362,3.149,1.7623,0.3414,0.5616,0.3658,3.361,"(3, 9, 13)"
Decision Tree Regressor,0.8701,2.7693,1.647,0.4489,0.5342,0.3237,3.379,"(3, 9, 15)"
Decision Tree Regressor,0.837,2.4784,1.5611,0.4989,0.5202,0.3289,3.379,"(3, 9, 16)"
Decision Tree Regressor,1.0536,3.6257,1.8829,0.3481,0.5916,0.3968,3.39,"(3, 9, 17)"
Decision Tree Regressor,1.031,3.6332,1.8993,0.4079,0.5834,0.3994,3.4,"(3, 10, 12)"
Decision Tree Regressor,0.9009,2.7438,1.647,0.5148,0.5517,0.3447,3.391,"(3, 10, 13)"
Decision Tree Regressor,1.0384,3.5457,1.8671,0.3981,0.5995,0.3461,3.397,"(3, 10, 15)"
Decision Tree Regressor,0.8962,2.7304,1.6404,0.51,0.5352,0.3467,3.378,"(3, 10, 16)"
Decision Tree Regressor,1.078,3.7551,1.931,0.3666,0.5974,0.3986,3.372,"(3, 10, 17)"
Decision Tree Regressor,0.874,2.7552,1.6503,0.4794,0.5409,0.3263,3.363,"(3, 12, 13)"
Decision Tree Regressor,0.9714,3.4551,1.8308,0.3775,0.5905,0.3566,3.357,"(3, 12, 15)"
Decision Tree Regressor,0.9888,3.2048,1.7794,0.3953,0.5782,0.3998,3.388,"(3, 12, 16)"
Decision Tree Regressor,0.9044,2.9525,1.7131,0.508,0.5462,0.343,3.383,"(3, 12, 17)"
Decision Tree Regressor,1.0329,3.555,1.8762,0.2899,0.6,0.383,3.362,"(3, 13, 15)"
Decision Tree Regressor,0.8773,2.7427,1.6475,0.4245,0.5468,0.3589,3.406,"(3, 13, 16)"
Decision Tree Regressor,0.8362,2.4718,1.5535,0.5208,0.5328,0.341,3.361,"(3, 13, 17)"
Decision Tree Regressor,0.9627,3.1347,1.761,0.3906,0.5724,0.3684,3.491,"(3, 15, 16)"
Decision Tree Regressor,0.8949,2.6914,1.6329,0.5172,0.5444,0.3114,3.385,"(3, 15, 17)"
Decision Tree Regressor,0.8543,2.7174,1.64,0.4852,0.5275,0.3356,3.396,"(3, 16, 17)"
Decision Tree Regressor,0.9558,3.1428,1.763,0.4515,0.5592,0.3294,3.386,"(4, 5, 6)"
Decision Tree Regressor,1.0723,3.659,1.9076,0.397,0.5712,0.3476,3.372,"(4, 5, 8)"
Decision Tree Regressor,1.095,3.8412,1.946,0.355,0.5749,0.3579,3.353,"(4, 5, 9)"
Decision Tree Regressor,1.1496,4.0229,1.9873,0.3788,0.5933,0.3783,3.356,"(4, 5, 10)"
Decision Tree Regressor,1.0801,3.6712,1.9001,0.4232,0.5722,0.3761,3.384,"(4, 5, 12)"
Decision Tree Regressor,0.9592,3.255,1.7926,0.4431,0.5593,0.3485,3.364,"(4, 5, 13)"
Decision Tree Regressor,0.961,3.118,1.757,0.4925,0.5389,0.306,3.37,"(4, 5, 15)"
Decision Tree Regressor,0.9347,2.882,1.6825,0.5031,0.5342,0.3214,3.366,"(4, 5, 16)"
Decision Tree Regressor,0.9436,3.1535,1.7562,0.5215,0.5375,0.2909,3.382,"(4, 5, 17)"
Decision Tree Regressor,0.9605,3.1797,1.762,0.4674,0.5462,0.3497,3.393,"(4, 6, 8)"
Decision Tree Regressor,0.9379,2.9626,1.7139,0.4541,0.536,0.3514,3.364,"(4, 6, 9)"
Decision Tree Regressor,0.9474,3.328,1.7899,0.4463,0.5364,0.3393,3.371,"(4, 6, 10)"
Decision Tree Regressor,0.9113,2.9079,1.698,0.5153,0.5363,0.3257,3.359,"(4, 6, 12)"
Decision Tree Regressor,0.8208,2.327,1.519,0.5637,0.514,0.3333,3.35,"(4, 6, 13)"
Decision Tree Regressor,0.9447,3.0952,1.7337,0.4596,0.5381,0.3476,3.368,"(4, 6, 15)"
Decision Tree Regressor,0.8335,2.4859,1.5632,0.5472,0.5125,0.3164,3.367,"(4, 6, 16)"
Decision Tree Regressor,0.9313,3.0365,1.7323,0.4929,0.5372,0.3525,3.354,"(4, 6, 17)"
Decision Tree Regressor,1.0317,3.677,1.9057,0.377,0.5879,0.3404,3.361,"(4, 8, 9)"
Decision Tree Regressor,1.0195,3.8842,1.9539,0.4177,0.5862,0.337,3.369,"(4, 8, 10)"
Decision Tree Regressor,1.3168,4.8973,2.2014,0.2693,0.6592,0.485,3.321,"(4, 8, 12)"
Decision Tree Regressor,0.8084,2.6308,1.6145,0.5605,0.513,0.3108,3.378,"(4, 8, 13)"
Decision Tree Regressor,1.1512,3.9895,1.9917,0.362,0.6164,0.4192,3.379,"(4, 8, 15)"
Decision Tree Regressor,0.7961,2.3307,1.5203,0.6143,0.4687,0.2907,3.409,"(4, 8, 16)"
Decision Tree Regressor,0.9076,3.0334,1.7316,0.5384,0.532,0.305,3.393,"(4, 8, 17)"
