Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,1.0315,3.5387,1.8758,0.4252,0.585,0.313,4.425,"(4, 5, 15)"
Decision Tree Regressor,0.9593,2.9784,1.7236,0.4987,0.5338,0.3295,4.524,"(4, 5, 16)"
Decision Tree Regressor,1.0213,3.3291,1.8189,0.4736,0.5519,0.326,4.285,"(4, 5, 17)"
Decision Tree Regressor,0.8757,2.7684,1.648,0.5307,0.523,0.3242,4.363,"(4, 6, 8)"
Decision Tree Regressor,0.9196,2.8832,1.6881,0.4683,0.5398,0.3352,4.475,"(4, 6, 9)"
Decision Tree Regressor,1.0694,3.643,1.8975,0.3782,0.5855,0.3617,4.376,"(4, 6, 10)"
Decision Tree Regressor,0.8654,2.547,1.5757,0.5671,0.4926,0.3593,4.287,"(4, 6, 12)"
Decision Tree Regressor,0.7657,2.2194,1.4761,0.6017,0.4877,0.2858,4.433,"(4, 6, 13)"
Decision Tree Regressor,0.9367,2.9794,1.7212,0.4694,0.5546,0.3376,4.408,"(4, 6, 15)"
Decision Tree Regressor,0.9091,2.9707,1.7129,0.4737,0.5444,0.3412,4.183,"(4, 6, 16)"
Decision Tree Regressor,0.8615,2.6035,1.5993,0.5648,0.4985,0.3064,4.279,"(4, 6, 17)"
Decision Tree Regressor,0.9115,2.9991,1.7269,0.4984,0.5557,0.3115,4.332,"(4, 8, 9)"
Decision Tree Regressor,1.1378,4.1341,2.008,0.3505,0.5988,0.3851,4.51,"(4, 8, 10)"
Decision Tree Regressor,1.2719,4.5514,2.1056,0.3162,0.6473,0.4628,4.396,"(4, 8, 12)"
Decision Tree Regressor,0.8052,2.4874,1.5499,0.5951,0.4889,0.2928,4.33,"(4, 8, 13)"
Decision Tree Regressor,1.2549,4.5939,2.1275,0.2828,0.6605,0.4208,3.809,"(4, 8, 15)"
Decision Tree Regressor,0.8013,2.4697,1.56,0.6016,0.4921,0.2817,4.997,"(4, 8, 16)"
Decision Tree Regressor,1.0232,3.6501,1.8972,0.4362,0.5666,0.3496,4.376,"(4, 8, 17)"
Decision Tree Regressor,1.1678,4.2683,2.0573,0.3297,0.6059,0.4107,4.454,"(4, 9, 10)"
Decision Tree Regressor,1.0208,3.4732,1.848,0.4338,0.5617,0.3569,4.51,"(4, 9, 12)"
Decision Tree Regressor,0.9699,3.2018,1.7744,0.4502,0.5477,0.3768,4.318,"(4, 9, 13)"
Decision Tree Regressor,0.9513,3.5127,1.8635,0.4265,0.5499,0.3067,4.265,"(4, 9, 15)"
Decision Tree Regressor,0.931,2.9144,1.7009,0.5091,0.5647,0.3337,4.312,"(4, 9, 16)"
Decision Tree Regressor,1.0531,3.9359,1.9748,0.3718,0.5978,0.373,4.219,"(4, 9, 17)"
Decision Tree Regressor,1.0935,3.8903,1.9609,0.4427,0.5698,0.3958,4.321,"(4, 10, 12)"
Decision Tree Regressor,1.2025,4.3031,2.0663,0.3226,0.6435,0.4264,4.306,"(4, 10, 13)"
Decision Tree Regressor,1.2524,4.6108,2.1361,0.3172,0.6498,0.4137,4.657,"(4, 10, 15)"
Decision Tree Regressor,1.2014,4.2919,2.0564,0.3343,0.6484,0.3936,4.308,"(4, 10, 16)"
Decision Tree Regressor,1.0307,3.4503,1.8358,0.5042,0.5606,0.3411,4.283,"(4, 10, 17)"
Decision Tree Regressor,0.9493,3.1194,1.7363,0.4893,0.5465,0.3655,4.309,"(4, 12, 13)"
Decision Tree Regressor,1.0268,3.3389,1.8118,0.4948,0.5725,0.3699,4.451,"(4, 12, 15)"
Decision Tree Regressor,1.0576,3.5327,1.8529,0.4409,0.5785,0.4059,4.27,"(4, 12, 16)"
Decision Tree Regressor,0.9557,3.3187,1.7934,0.5165,0.5365,0.3317,4.293,"(4, 12, 17)"
Decision Tree Regressor,1.018,3.2559,1.7831,0.4329,0.5941,0.3795,4.544,"(4, 13, 15)"
Decision Tree Regressor,0.7412,2.1647,1.4608,0.6317,0.4717,0.2911,4.394,"(4, 13, 16)"
Decision Tree Regressor,0.8136,2.5502,1.5844,0.5839,0.4863,0.3399,4.276,"(4, 13, 17)"
Decision Tree Regressor,0.8139,2.561,1.5891,0.5717,0.5098,0.2912,4.392,"(4, 15, 16)"
Decision Tree Regressor,1.1962,4.341,2.0594,0.3232,0.6451,0.4303,4.412,"(4, 15, 17)"
