Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.9807,3.2058,1.7809,0.4036,0.5668,0.3753,3.291,"(2, 6, 9)"
Decision Tree Regressor,0.7745,2.2408,1.4895,0.6249,0.4865,0.2782,3.316,"(2, 6, 10)"
Decision Tree Regressor,0.8778,2.7818,1.651,0.5194,0.5082,0.3568,3.322,"(2, 6, 12)"
Decision Tree Regressor,0.7833,2.2406,1.474,0.5531,0.4904,0.3292,3.302,"(2, 6, 13)"
Decision Tree Regressor,0.8259,2.5589,1.5897,0.5261,0.5128,0.31,3.319,"(2, 6, 15)"
Decision Tree Regressor,0.8188,2.4372,1.5478,0.5191,0.5148,0.3142,3.321,"(2, 6, 16)"
Decision Tree Regressor,0.8684,2.8606,1.6871,0.5082,0.5345,0.3181,3.287,"(2, 6, 17)"
Decision Tree Regressor,1.1395,3.9269,1.9754,0.3191,0.6047,0.441,3.3,"(2, 8, 9)"
Decision Tree Regressor,1.0501,3.7344,1.9196,0.4074,0.5789,0.3699,3.37,"(2, 8, 10)"
Decision Tree Regressor,1.0588,3.8271,1.945,0.4163,0.5904,0.3865,3.286,"(2, 8, 12)"
Decision Tree Regressor,0.9756,3.1992,1.7768,0.4497,0.5595,0.3869,3.252,"(2, 8, 13)"
Decision Tree Regressor,1.1985,4.6046,2.123,0.2275,0.6498,0.4152,3.246,"(2, 8, 15)"
Decision Tree Regressor,0.7825,2.2933,1.5061,0.6022,0.4982,0.3142,3.236,"(2, 8, 16)"
Decision Tree Regressor,0.8926,2.9937,1.7246,0.5213,0.5425,0.3071,3.255,"(2, 8, 17)"
Decision Tree Regressor,1.0566,3.8389,1.9227,0.3652,0.5794,0.3827,3.236,"(2, 9, 10)"
Decision Tree Regressor,1.0455,3.5292,1.8638,0.387,0.575,0.3804,3.234,"(2, 9, 12)"
Decision Tree Regressor,0.9528,3.0022,1.723,0.4378,0.5475,0.3761,3.267,"(2, 9, 13)"
Decision Tree Regressor,1.0504,3.724,1.923,0.3651,0.5961,0.3567,3.242,"(2, 9, 15)"
Decision Tree Regressor,0.9222,2.9577,1.703,0.4485,0.5638,0.3582,3.246,"(2, 9, 16)"
Decision Tree Regressor,1.052,3.8252,1.952,0.3494,0.6039,0.3748,3.253,"(2, 9, 17)"
Decision Tree Regressor,1.2531,4.5453,2.1195,0.338,0.644,0.4714,3.251,"(2, 10, 12)"
Decision Tree Regressor,1.1274,4.2003,2.0257,0.3493,0.6062,0.4121,3.263,"(2, 10, 13)"
Decision Tree Regressor,1.119,4.3399,2.0696,0.3312,0.6067,0.3898,3.244,"(2, 10, 15)"
Decision Tree Regressor,1.0654,3.6277,1.8909,0.4017,0.5917,0.4034,3.225,"(2, 10, 16)"
Decision Tree Regressor,1.2456,4.7422,2.1557,0.3026,0.6435,0.4416,3.381,"(2, 10, 17)"
Decision Tree Regressor,0.9227,3.0266,1.7303,0.4893,0.5441,0.3461,3.253,"(2, 12, 13)"
Decision Tree Regressor,1.0599,3.4567,1.8445,0.4588,0.604,0.4014,3.235,"(2, 12, 15)"
Decision Tree Regressor,0.983,3.2342,1.781,0.4698,0.5564,0.3795,3.244,"(2, 12, 16)"
